	Name	Nationality
1024	I. Scocco	Argentina
1025	R. Oxford	England
1026	R. McCrorie	Scotland
1027	S. Nzonzi	France
1028	Iago	Brazil
1029	I. Hayden	England
1030	J. Harrison	England
1031	Juan Mata	Spain
1032	K. Rekik	Netherlands
1033	M. Cornet	Ivory Coast
1034	N. Pope	England
1035	Pablo Maffeo	Spain
1036	V. Kovalenko	Ukraine
1037	L. Fabia?ski	Poland
1038	A. Candreva	Italy
1039	A. Izzo	Italy
1040	C. Aránguiz	Chile
1041	Azpilicueta	Spain
1042	F. Ortega	Argentina
1043	J. López	Argentina
1044	Luiz Araújo	Brazil
1045	M. Olivera	Uruguay
1046	P. Roberts	England
1047	W. Cyprien	France
1048	C. Tévez	Argentina
1049	D. Yedlin	United States
1050	D. Geiger	Germany
1051	J. Dasilva	England
1052	K. Agudelo	Colombia
1053	M. Vecino	Uruguay
1054	M. Antonucci	Italy
1055	R. Baku	Germany
1056	Y. Karamoh	France
1057	De la Fuente	Spain
1058	D. Sow	Switzerland
1059	Eduardo Quaresma	Portugal
1060	F. Acerbi	Italy
1061	F. Cervi	Argentina
1062	J. O'Connell	England
1063	M. Doherty	Republic of Ireland
1064	M. Shaparenko	Ukraine
1065	S. Sohm	Switzerland
1066	Thiago Mendes	Brazil
1067	W. Anton	Germany
1068	E. Viš?a	Bosnia Herzegovina
1069	F. Chalov	Russia
1070	Gabriel Paulista	Brazil
1071	M. Orši?	Croatia
1072	N. Clyne	England
1073	V. Mykolenko	Ukraine
1074	Vítor Ferreira	Portugal
1075	Alex Berenguer	Spain
1076	D. Blind	Netherlands
1077	Puado	Spain
1078	P. Billing	Denmark
1079	Ronaldo Cabrais	Brazil
1080	M. Lanzini	Argentina
1081	A. Sambi Lokonga	Belgium
1082	G. Kondogbia	Central African Rep.
1083	N. Madueke	England
1084	Kenedy	Brazil
1085	I. Kahveci	Turkey
1086	A. Akinfenwa	England
1087	A. Haidara	Mali
1088	Ander Herrera	Spain
1089	I. Maatsen	Netherlands
1090	I. Lihadji	France
1091	J. Tarkowski	England
1092	L. Karius	Germany
1093	Lucas Vázquez	Spain
1094	Marcos Alonso	Spain
1095	M. Smith	Wales
1096	N. Bishop	England
1097	O. Aina	Nigeria
1098	R. Alvarado	Mexico
1099	Ronaldinho	Brazil
1100	R. Babel	Netherlands
1101	A. Connolly	Republic of Ireland
1102	A. Amaya	Colombia
1103	H. Herrera	Mexico
1104	Iñaki Peña	Spain
1105	J. Leko	England
1106	L. Thomas	England
1107	S. Cáseres	Argentina
1108	W. Benítez	Argentina
1109	Yuri Berchiche	Spain
1110	C. Zambrano	Peru
1111	E. Pizzuto	Mexico
1112	Miranda	Spain
1113	J. Ekkelenkamp	Netherlands
1114	L. Campana	Ecuador
1115	M. Arambarri	Uruguay
1116	N. Otamendi	Argentina
1117	O. Idrissi	Morocco
1118	Borja Iglesias	Spain
1119	D. Sikan	Ukraine
1120	E. Stevens	Republic of Ireland
1121	Valera	Spain
1122	Zubeldia	Spain
1124	K. Kampl	Slovenia
1125	Malcom	Brazil
1126	M. van Ginkel	Netherlands
1127	O. Duda	Slovakia
1128	R. Bürki	Switzerland
1129	D. Okereke	Nigeria
1130	D. Turnbull	Scotland
1131	Diogo Leite	Portugal
1132	D. Solanke	England
1133	F. Amuzu	Belgium
1134	H. Diallo	Senegal
1135	J. Worrall	England
1136	Jonny	Spain
1137	K. Demirbay	Germany
1138	L. Alario	Argentina
1139	S. Giménez	Mexico
1140	M. Arnautovi?	Austria
1141	Rafinha	Brazil
1142	R. Morrison	England
1143	Capa	Spain
1144	A. Zambo Anguissa	Cameroon
1145	Borja Mayoral	Spain
1146	B. Petkovi?	Croatia
1147	J. Fleck	Scotland
1148	L. Bonucci	Italy
1149	L. de Jong	Netherlands
1150	Manu García	Spain
1151	M. Sylla	France
1152	M. Barrow	Gambia
1153	A. Caci	France
1154	C. Wilson	England
1155	C. Mepham	Wales
1156	F. Grillitsch	Austria
1157	Jean Lucas	Brazil
1158	M. Palacios	Argentina
1159	O. Yoku?lu	Turkey
1160	P. Gulácsi	Hungary
1161	S. Singh	New Zealand
1162	S. McKenna	Scotland
1163	André Gomes	Portugal
1164	Bruno Tabata	Brazil
1165	F. Muslija	Kosovo
1166	L. Cook	England
1167	M. Çelik	Turkey
1168	N. Mbuku	France
1169	Pedro	Spain
1170	R. Jarstein	Norway
1171	V. Rongier	France
1172	S. Vrsaljko	Croatia
1173	A. Živkovi?	Serbia
1174	D. da Costa	Germany
1175	David Soria	Spain
1176	G. Bonaventura	Italy
1177	M. Niang	Senegal
1178	R. Bellanova	Italy
1179	S. Kalou	Ivory Coast
1180	S. Salcedo	Paraguay
1181	T. Walcott	England
1182	E. Pulgar	Chile
1183	F. Acheampong	Ghana
1184	J. Sildero	Uruguay
1185	M. Kilman	England
1186	M. Weiser	Germany
1187	R. Malinovskyi	Ukraine
1188	S. Handanovi?	Slovenia
1189	B. Kuscevic	Chile
1190	E. Zidane	France
1191	G. Shoji	Japan
1192	G. Bello	United States
1193	H. Hateboer	Netherlands
1194	J. Maddox	England
1195	K. Bafounta	France
1196	N. Bentaleb	Algeria
1197	Riquelme	Spain
1198	R. Mandragora	Italy
1199	R. Curtis	Republic of Ireland
1200	A. Areola	France
1201	Bernard	Brazil
1202	Cristian Tello	Spain
1203	J. Brooks	United States
1204	K. Asamoah	Ghana
1205	Aihen Muñoz	Spain
1206	B. Nygren	Sweden
1207	G. Middleton	Scotland
1208	H. Villalba	Paraguay
1209	Mata	Spain
1210	Jordi Escobar	Spain
1211	L. Suárez	Argentina
1212	M. Pašali?	Croatia
1213	M. Elyounoussi	Norway
1214	M. Simon	Nigeria
1215	N. Lang	Netherlands
1216	Rubén Blanco	Spain
1217	S. Sosa	Argentina
1218	A. Colassin	Belgium
1219	A. Barák	Czech Republic
1220	C. Adams	England
1221	D. Samassékou	Mali
1222	F. Woodman	England
1223	Javi Martínez	Spain
1224	Pepelu	Spain
1225	K. Grabara	Poland
1226	Pepe	Portugal
1227	M. Svanberg	Sweden
1228	Sokratis	Greece
1229	L. Piszczek	Poland
1230	A. Lopes	Portugal
1231	D. Bernard	England
1232	F. Balogun	England
1233	G. Dzhikiya	Russia
1234	J. Lucumi	Colombia
1235	J. David	Germany
1236	M. Gregoritsch	Austria
1237	M. Diakhaby	France
1238	N. Bustos	Argentina
1239	O. Solet	France
1240	P. Bamford	England
1241	S. Jurado	Mexico
1242	V. Kompany	Belgium
1243	William Carvalho	Portugal
1244	C. Robinson	Republic of Ireland
1245	E. Ponce	Argentina
1246	Joaquín	Spain
1247	J. Gelhardt	England
1248	Morales	Spain
1249	K. Casteels	Belgium
1250	L. Spinazzola	Italy
1251	L. Bénes	Slovakia
1252	S. Giovinco	Italy
1253	Hilton	Brazil
1254	A. Whiteman	England
1255	Toni Lato	Spain
1256	A. Muric	Kosovo
1257	J. Bowden	Republic of Ireland
1258	M. Olise	France
1259	R. Hack	Germany
1260	Jorge Meré	Spain
1261	J. Veltman	Netherlands
1262	J. Komar	Argentina
1263	K. Ehizibue	Netherlands
1264	Trezeguet	Egypt
1265	M. Nastasi?	Serbia
1266	R. Bensebaini	Algeria
1267	W. Hughes	England
1268	W. Orban	Hungary
1269	E. Banega	Argentina
1270	B. Fernández	Argentina
1271	J. Italiano	Australia
1272	J. Cillessen	Netherlands
1273	M. Parolo	Italy
1274	M. Pjaca	Croatia
1275	De Tomás	Spain
1276	S. Lainer	Austria
1277	T. Horn	Germany
1278	A. Ömür	Turkey
1279	Andrés Martín	Spain
1280	Clinton Mata	Angola
1281	Dalbert	Brazil
1282	D. Jovelji?	Serbia
1283	F. Dimarco	Italy
1284	Jovane Cabral	Cape Verde
1285	K. Schmeichel	Denmark
1286	M. Clarke	England
1287	M. Perin	Italy
1288	V. Koziello	France
1289	Álex Collado	Spain
1290	D. Payet	France
1291	Edu Expósito	Spain
1292	E. Owusu	France
1293	G. Togni	Argentina
1294	J. Lascelles	England
1295	J. Maja	Nigeria
1296	M. Arnold	Germany
1297	R. Porteous	Scotland
1298	S. Koita	Mali
1299	S. Nsoki	France
1300	Y. Larouci	Algeria
1301	Danilo Pereira	Portugal
1302	D. Traore	Ivory Coast
1303	E. Alvarez	Mexico
1304	E. Cömert	Switzerland
1305	F. Falco	Italy
1306	Francis	Spain
1307	G. Baldock	England
1308	J. Mascherano	Argentina
1309	J. Brownhill	England
1310	K. Amian	France
1311	K. Navas	Costa Rica
1312	L. Muriel	Colombia
1313	Ricardo Horta	Portugal
1314	Mollejo	Spain
1315	W. Boly	Ivory Coast
1316	D. Dike	United States
1317	E. Löwen	Germany
1318	J. Pavlenka	Czech Republic
1319	K. Malong	Cameroon
1320	Pozuelo	Spain
1321	D. Ginczek	Germany
1322	D. Sturridge	England
1323	H. Mkhitaryan	Armenia
1324	M. Senesi	Argentina
1325	M. Dúbravka	Slovakia
1326	M. Krmen?ík	Czech Republic
1327	O. Norwood	Northern Ireland
1328	S. Khedira	Germany
1329	V. Rosier	France
1330	B. Duncan	England
1331	D. Kamada	Japan
1332	G. Rulli	Argentina
1333	G. Sigurðsson	Iceland
1334	L. Blas	France
1335	L. Milivojevi?	Serbia
1336	Rony Lopes	Portugal
1337	Marquinhos Cipriano	Brazil
1338	M. Lemina	Gabon
1339	Miguel	Spain
1340	P. Rosario	Netherlands
1341	S. Berghuis	Netherlands
1342	V. Fischer	Denmark
1343	B. Pearson	England
1344	D. Sinkgraven	Netherlands
1345	E. Choupo-Moting	Cameroon
1346	E. Demirovi?	Bosnia Herzegovina
1347	J. Lescott	England
1348	J. Bacuna	Curacao
1349	K. Pierie	Netherlands
1350	L. Valenti	Argentina
1351	Neto	Brazil
1352	O. Alderete	Paraguay
1353	O. Pineda	Mexico
1354	S. Fofana	Ivory Coast
1355	Alberto Soro	Spain
1356	A. Rrahmani	Kosovo
1357	B. Jatta	Gambia
1358	B. Kapustka	Poland
1359	Bernardo	Brazil
1360	C. Abi	France
1361	E. Džeko	Bosnia Herzegovina
1362	F. Guilbert	France
1363	J. Lerma	Colombia
1364	K. Linetty	Poland
1365	L. Giannetti	Argentina
1366	Leo Baptistao	Brazil
1367	L. Dálves	Uruguay
1368	M. Wolf	Germany
1369	M. Azarkan	Netherlands
1370	Ibañez	Brazil
1371	Aleix García	Spain
1372	Álex Moreno	Spain
1373	C. Coady	England
1374	D. Kownacki	Poland
1375	K. Bellarabi	Germany
1376	K. Tete	Netherlands
1377	M. Ruiz	Mexico
1378	M. Okugawa	Japan
1379	Mateu Morey	Spain
1380	Danilo	Brazil
1381	L. Cabrera	Uruguay
1382	B. Santamaria	France
1383	Borja Bastón	Spain
1384	E. Vignato	Italy
1385	Igor	Brazil
1386	J. Córdoba	Colombia
1387	M. Lopez	France
1388	Maycon	Brazil
1389	M. Murillo	Panama
1390	N. Nkoulou	Cameroon
1391	P. Tau	South Africa
1392	P. Gollini	Italy
1393	Rodrigo Fernandes	Portugal
1394	S. Ganvoula	Congo
1395	T. Adarabioyo	England
1396	A. Ounas	Algeria
1397	A. Sigurðsson	Iceland
1398	C. Biraghi	Italy
1399	D. Barbona	Argentina
1400	J. Willems	Netherlands
1401	J. Carranza	Argentina
1402	K. Honda	Japan
1403	L. Augustinsson	Sweden
1404	L. Klünter	Germany
1405	M. Normann	Norway
1406	Kim Min Jae	Korea Republic
1407	Renato Augusto	Brazil
1408	R. Gagliardini	Italy
1409	Stephen Eustáquio	Canada
1410	Y. Yaz?c?	Turkey
1411	B. Brereton	England
1412	D. ?aleta-Car	Croatia
1413	J. Jankto	Czech Republic
1414	Palhinha	Portugal
1415	P. van Aanholt	Netherlands
1416	P. Glatzel	Germany
1417	Y. Osorio	Venezuela
1418	A. Maxim	Romania
1419	A. Danjuma Groeneveld	Netherlands
1420	Bruno Xadas	Portugal
1421	C. Summerville	Netherlands
1422	C. Munder	Chile
1423	Deyverson	Brazil
1424	H. Marcelin	France
1425	H. Clarke	England
1426	J. Wilshere	England
1427	J. Boëtius	Netherlands
1428	J. St. Juste	Netherlands
1429	Pozo	Spain
1430	M. De Sciglio	Italy
1431	P. Groß	Germany
1432	R. Zobnin	Russia
1433	W. Hoedt	Netherlands
1434	Gabriel Brazão	Brazil
1435	Iker Losada	Spain
1436	J. Markovi?	Czech Republic
1437	João Carvalho	Portugal
1438	M. Degenek	Australia
1439	R. Kruni?	Bosnia Herzegovina
1440	Bojan	Spain
1441	Jesé	Spain
1442	Jorge Molina	Spain
1443	M. Kruse	Germany
1444	N. Redmond	England
1445	P. Sisto	Denmark
1446	Rúben Vezo	Portugal
1447	S. Sané	Senegal
1448	Akieme	Spain
1449	Adrián Marín	Spain
1450	Anuar	Morocco
1451	B. Raman	Belgium
1452	C. Domínguez	Paraguay
1453	D. Jastrzembski	Germany
1454	G. Murray	England
1455	I. Pussetto	Argentina
1456	Casillas	Spain
1457	J. Chotard	France
1458	J. Guilavogui	France
1459	J. Musso	Argentina
1460	M. Ndayishimiye	Belgium
1461	M. Dembélé	Belgium
1462	T. Suslov	Slovakia
1463	E. Balanta	Colombia
1464	A. Lallana	England
1465	A. Donis	Greece
1466	André Anderson	Italy
1467	B. Kee	Northern Ireland
1468	C. Cásseres Jr	Venezuela
1469	David Villa	Spain
1470	D. Mbayo	Belgium
1471	F. Coquelin	France
1472	Montero	Spain
1473	K. Ayhan	Turkey
1474	K. Scherpen	Netherlands
1475	L. Mbe Soh	France
1476	L. Olaza	Uruguay
1477	L. Geertruida	Netherlands
1478	M. Tavernier	England
1479	Marlon	Brazil
1480	M. Yoshida	Japan
1481	R. Christie	Scotland
1482	X. Amaechi	England
1483	Ademilson	Brazil
1484	A. Rossi	Argentina
1485	A. Dozzell	England
1486	A. Gunn	England
1487	C. Wood	New Zealand
1488	D. Mitchell	England
1489	D. Sidibé	France
1490	I. Mbenza	Belgium
1491	Josué Chiamulera	Brazil
1492	Campaña	Spain
1493	M. Gabbia	Italy
1494	M. Wöber	Austria
1495	O. Batista Meier	Germany
1496	R. Griffiths	England
1497	S. Maguire	Republic of Ireland
1498	Z. Aboukhlal	Netherlands
1499	M. Roffo	Argentina
1500	Alfa Semedo	Guinea Bissau
1501	B. Schweinsteiger	Germany
1502	B. Mechele	Belgium
1503	C. Bassogog	Cameroon
1504	E. Andrada	Argentina
1505	G. Rodríguez	Argentina
1506	Hélder Costa	Portugal
1507	J. Morris	United States
1508	João Mário	Portugal
1509	J. Bijlow	Netherlands
1510	K. Lawrence	Jamaica
1511	M. O'Riley	England
1512	M. Keane	England
1513	W. Bianda	France
1514	André Almeida	Portugal
1515	A. Kalimuendo	France
1516	B. Ashley-Seal	England
1517	B. Pierrick	England
1518	C. Gribbin	England
1519	D. Suárez	Uruguay
1520	D. Maresic	Austria
1521	G. Taylor	Scotland
1522	H. Boudaoui	Algeria
1523	Hugo Duro	Spain
1524	I. Niane	Senegal
1525	I. Diveev	Russia
1526	Hwang In beom	Korea Republic
1527	Jony	Spain
1528	J. Ibe	England
1529	J. Sims	England
1530	Pepe Reina	Spain
1531	K. Bielik	Poland
1532	L. Østigård	Norway
1533	L. Biglia	Argentina
1534	S. Arias	Colombia
1535	A. Ljaji?	Serbia
1536	A. Yusuf	Nigeria
1537	A. Šporar	Slovenia
1538	A. ?ori?	Croatia
1539	A. El Ghazi	Netherlands
1540	B. Enobakhare	Nigeria
1541	C. Akono	Germany
1542	D. Padelli	Italy
1543	Eric Ramires	Brazil
1544	J. Lahne	Sweden
1545	K. Malcuit	France
1546	L. Rodríguez	Argentina
1547	L. Vera	Argentina
1548	L. Bolton	England
1549	Pedro Chirivella	Spain
1550	R. Rojas	Paraguay
1551	Rúben Semedo	Portugal
1552	Wendell	Brazil
1553	C. Durkin	United States
1554	H. White	England
1555	Ontiveros	Spain
1556	M. Travers	Republic of Ireland
1557	M. Jørgensen	Denmark
1558	Rubén Duarte	Spain
1559	S. Hefti	Switzerland
1560	A. Guardado	Mexico
1561	Adán	Spain
1562	C. Salcedo	Mexico
1563	Denis Suárez	Spain
1564	Gervinho	Ivory Coast
1565	J. Souttar	Scotland
1566	J. Calleri	Argentina
1567	Juanmi	Spain
1568	L. Bender	Germany
1569	M. Gabbiadini	Italy
1570	M. Dabbur	Israel
1571	Raúl García	Spain
1572	R. Quaison	Sweden
1573	B. Gomis	France
1574	C. Akpom	England
1575	D. Zappacosta	Italy
1576	D. Boyata	Belgium
1577	E. Garay	Argentina
1578	F. Ghoulam	Algeria
1579	F. Macheda	Italy
1580	F. Armani	Argentina
1581	J. Forrest	Scotland
1582	J. Knight	Republic of Ireland
1583	Manquillo	Spain
1584	J. Dinenno	Argentina
1585	K. Danso	Austria
1586	L. Itter	Germany
1587	O. Holm	Norway
1588	O. Moru?an	Romania
1589	Rubén García	Spain
1590	S. Walukiewicz	Poland
1591	Sergi Darder	Spain
1592	S. Deli	Ivory Coast
1593	Taison	Brazil
1594	A. Peñaranda	Venezuela
1595	A. Dzyuba	Russia
1596	A. Begovi?	Bosnia Herzegovina
1597	C. Slattery	England
1598	E. Rigoni	Argentina
1599	J. Hernández	Mexico
1600	J. Pastore	Argentina
1601	J. Riedewald	Netherlands
1602	J. Sekidika	Nigeria
1603	M. Pongra?i?	Croatia
1604	Moha	Morocco
1605	Mário Rui	Portugal
1607	S. ?urkowski	Poland
1608	V. Nelsson	Denmark
1609	Quintillà	Spain
1610	S. Radu	Romania
1611	A. Dabo	France
1612	C. Lewis	New Zealand
1613	G. Til	Netherlands
1614	J. Ebobisse	United States
1615	L. Czyborra	Germany
1616	M. Bagayoko	Ivory Coast
1617	Manu Morlanes	Spain
1618	M. Bu?ka	Poland
1619	P. Dahlberg	Sweden
1620	B. Engels	Belgium
1621	G. Maripán	Chile
1622	L. Gooch	United States
1623	Omar Mascarell	Spain
1624	R. Saïss	Morocco
1625	S. Luli?	Bosnia Herzegovina
1626	S. Feghouli	Algeria
1627	B. Decordova-Reid	Jamaica
1628	E. Martínez	Argentina
1629	F. Uduokhai	Germany
1630	G. Nkoudou	France
1631	I. Meslier	France
1632	Ivan Cavaleiro	Portugal
1633	Jordi Mboula	Spain
1634	Jorge Cuenca	Spain
1635	Kaká	Brazil
1636	R. Bazoer	Netherlands
1637	T. Jedvaj	Croatia
1638	Campuzano	Spain
1639	A. Musa	Nigeria
1640	Álex Remiro	Spain
1641	C. Kelman	United States
1642	C. Gomes	France
1643	D. Muñoz	Colombia
1644	D. Ayala	Argentina
1645	D. Praet	Belgium
1646	F. Fabra	Colombia
1647	G. Larsonneur	France
1648	J. Onomah	England
1649	J. Onguéné	Cameroon
1650	K. Nagai	Japan
1651	K. Lasagna	Italy
1652	K. Sardella	Belgium
1653	L. Dajaku	Germany
1654	L. Acosta	Argentina
1655	L. Vietto	Argentina
1656	Nani	Portugal
1657	Lyanco	Brazil
1658	M. Guehi	England
1659	M. Targett	England
1660	O. Etebo	Nigeria
1661	T. It?	Japan
1662	Y. Begraoui	France
1664	C. McGregor	Scotland
1665	G. Martínez	Argentina
1666	H. Weydandt	Germany
1667	J. Thielmann	Germany
1668	J. Asoro	Sweden
1669	J. Amavi	France
1670	Jorge Sáenz	Spain
1671	J. Mauri	Italy
1672	K. Thuram	France
1673	L. Vido	Italy
1674	L. Dubois	France
1675	M. Fossey	United States
1676	M. Thorsby	Norway
1677	P. Estupiñán	Ecuador
1678	T. B?lu??	Romania
1679	U. Antuna	Mexico
1680	Aitor	Spain
1681	B. Djimsiti	Albania
1682	D. Mbokani	DR Congo
1683	F. Smolov	Russia
1684	Juan Jesus	Brazil
1685	M. de Roon	Netherlands
1686	M. Musacchio	Argentina
1687	S. Coates	Uruguay
1688	S. Verdi	Italy
1689	T. Vaclík	Czech Republic
1690	A. Mooy	Australia
1691	A. Webster	England
1692	Pedraza	Spain
1693	A. Vranckx	Belgium
1694	David Tavares	Portugal
1695	D. Klaassen	Netherlands
1696	F. Ballo-Touré	France
1697	G. Pezzella	Italy
1698	I. Ganago	Cameroon
1699	K. Lala	France
1700	K. Moreno	Colombia
1701	L. Gibson	England
1702	L. Millar	Canada
1703	M. Nakamba	Zimbabwe
1704	M. Zaccagni	Italy
1705	O. Fernandez	United States
1706	R. Aarons	England
1707	R. Aguilar	France
1708	S. Vegas	Chile
1709	S. Armstrong	Scotland
1710	S. Bender	Germany
1711	Bruno Viana	Brazil
1712	C. Songkrasin	Thailand
1713	D. Lamkel Zé	Cameroon
1714	D. Valencia	Chile
1715	E. Salvio	Argentina
1716	E. Sabbi	United States
1717	H. Dervi?o?lu	Turkey
1718	I. Saavedra	Chile
1719	J. Dunne	Republic of Ireland
1720	J. Svensson	Norway
1721	Paulinho	Portugal
1722	K. Edwards	England
1723	L. Zidane	France
1724	L. Advíncula	Peru
1725	M. Grimes	England
1726	M. Robinson	United States
1727	N. Mendy	France
1728	R. Bennett	England
1729	S. Alzate	Colombia
1730	T. Galdames	Chile
1731	Jeong Woo Yeong	Korea Republic
1732	Y. Fofana	France
1733	Óliver Torres	Spain
1734	A. Lottin	France
1735	B. Toma	Switzerland
1736	C. Rodríguez	Mexico
1737	E. Cabaco	Uruguay
1738	F. Mura	Argentina
1739	J. Lindsey	United States
1740	A. Duncan	Ghana
1741	Bastos	Angola
1742	B. Dost	Netherlands
1743	Diego Llorente	Spain
1744	E. Mangala	France
1745	E. Elia	Netherlands
1746	Pacheco	Spain
1747	I. Bebou	Togo
1748	Jemerson	Brazil
1749	N. Suboti?	Serbia
1750	P. Jagielka	England
1751	Rosberto Dourado	Brazil
1752	Y. Sommer	Switzerland
1753	Y. Koné	Mali
1754	Ángel	Spain
1755	A. Kamara	France
1756	A. Djiku	France
1757	A. Mitri??	Romania
1758	Toni Villa	Spain
1759	A. Masuaku	DR Congo
1760	B. Osborn	England
1761	B. Dia	France
1762	C. Paterson	Scotland
1763	D. Lischka	Czech Republic
1764	E. Sobol	Ukraine
1765	E. Le Fée	France
1767	I. Success	Nigeria
1768	I. Gómez	Argentina
1769	J. Evans	Northern Ireland
1770	J. Iturbe	Paraguay
1771	K. Strootman	Netherlands
1772	L. Dimata	Belgium
1773	L. Bittencourt	Germany
1774	M. Maddison	England
1775	M. Mehlem	Germany
1776	M. Karbownik	Poland
1777	O. Ntcham	France
1778	Rogério	Brazil
1779	S. Mandíquez	Ecuador
1780	S. Joveti?	Montenegro
1781	Tomás Esteves	Portugal
1782	A. Goransch	Germany
1783	A. Younes	Germany
1784	A. Green	England
1785	A. Mandi	Algeria
1786	C. Willock	England
1787	C. Piccini	Italy
1788	E. Pavlidis	Greece
1789	Llorente	Spain
1790	G. Scamacca	Italy
1791	J. Wilson	England
1792	Mama Baldé	Guinea Bissau
1793	M. Ryan	Australia
1794	P. Sandler	Netherlands
1795	Robert	Spain
1796	Róber	Spain
1797	Rodrigo Becão	Brazil
1798	A. Gordon	England
1799	C. Luyindama	DR Congo
1800	Alan Carvalho	Brazil
1801	A. Chalá	Ecuador
1802	A. Barkok	Germany
1803	Bruno Peres	Brazil
1804	F. Maouassa	France
1805	Soares	Brazil
1806	H. Moukoudi	Cameroon
1807	Miranda	Brazil
1808	K. Dowell	England
1809	L. Amos	England
1810	M. Benítez	Argentina
1811	N. Eliasson	Sweden
1812	O. Burke	Scotland
1813	R. Pereyra	Argentina
1814	Robinho	Brazil
1815	T. Baumgartl	Germany
1816	Illarramendi	Spain
1817	B. Stambouli	France
1818	C. Stuani	Uruguay
1819	D. Drinkwater	England
1820	E. Vargas	Chile
1821	E. Hewitt	Wales
1822	E. Hamilton	Scotland
1823	G. Ramírez	Uruguay
1824	Gonçalo Paciência	Portugal
1825	J. Hart	England
1826	J. Djourou	Switzerland
1827	K. Goudmijn	Netherlands
1828	M. Kempf	Germany
1829	M. Ga?inovi?	Serbia
